orf	uniprotID	substrate	sf	family	Length
YOR136W	P28241	+	c.77.1	c.77.1.1	369
YNL009W	P53982	-	c.77.1	c.77.1.1	420
YLR174W	P41939	+	c.77.1	c.77.1.1	412
YCL018W	P04173	-	c.77.1	c.77.1.1	364
YDL066W	P21954	+	c.77.1	c.77.1.1	428
YDL230W	P25044	+	c.45.1	c.45.1.2	335
YDR067C	Q12454	+	c.45.1	c.45.1.2	224
YIL113W	P40479	-	c.45.1	c.45.1.1	209
YNL056W	P53949	+	c.45.1	c.45.1.1	197
YNL099C	P50946	-	c.45.1	c.45.1.1	238
YLR446W	Q06204	-	c.45.1	c.45.1.2	433
YOR246C	Q08651	+	c.2.1	c.2.1.2	330
YBR159W	P38286	-	c.2.1	c.2.1.2	347
YLR426W	Q06417	+	c.2.1	c.2.1.2	326
YKL107W	P34251	-	c.2.1	c.2.1.2	309
YKL055C	P35731	-	c.2.1	c.2.1.2	278
YDL114W	Q07530	-	c.2.1	c.2.1.2	308
YPL033C	Q03085	-	c.2.1	c.2.1.2	281
YKL071W	P36086	-	c.2.1	c.2.1.2	256
YNL181W	P53878	+	c.2.1	c.2.1.2	407
YMR090W	Q04304	-	c.2.1	c.2.1.2	227
YNL202W	P32573	-	c.2.1	c.2.1.2	292
YER004W	P40008	+	c.2.1	c.2.1.2	231
YIR036C	P40580	+	c.2.1	c.2.1.2	263
YIL124W	P40471	+	c.2.1	c.2.1.2	297
YBR175W	P38123	+	b.69.4	b.69.4.1	315
YPR085C	Q06822	-	b.69.4	b.69.4.1	443
YDR267C	Q05583	+	b.69.4	b.69.4.1	330
YER066W	P40042	-	b.69.4	b.69.4.1	185
YER107C	P40066	+	b.69.4	b.69.4.1	365
YMR146C	P40217	+	b.69.4	b.69.4.1	347
YDR142C	P39108	-	b.69.4	b.69.4.1	375
YMR116C	P38011	+	b.69.4	b.69.4.1	319
YNL035C	P53962	+	b.69.4	b.69.4.1	389
YGL100W	P53011	+	b.69.4	b.69.4.1	349
YBR234C	P38328	+	b.69.4	b.69.4.1	384
YBR246W	P38332	+	b.69.4	b.69.4.1	387
YOR026W	P26449	+	b.69.4	b.69.4.1	341
YGL004C	P53196	+	b.69.4	b.69.4.1	417
YLR208W	Q04491	+	b.69.4	b.69.4.1	297
YNL006W	P41318	+	b.69.4	b.69.4.1	303
YKL018W	P36104	+	b.69.4	b.69.4.1	329
YDR368W	Q12458	+	c.1.7	c.1.7.1	312
YDL243C	Q07747	-	c.1.7	c.1.7.1	329
YFL057C	P43546	-	c.1.7	c.1.7.1	152
YOL165C	Q08361	-	c.1.7	c.1.7.1	143
YHR104W	P38715	+	c.1.7	c.1.7.1	327
YJR155W	P47182	-	c.1.7	c.1.7.1	288
YOR120W	P14065	-	c.1.7	c.1.7.1	312
YFL056C	P43547	-	c.1.7	c.1.7.1	212
YGL025C	P40356	-	e.29.1	e.29.1.2	397
YHR217C	P38898	-	e.29.1	e.29.1.2	153
YOR116C	P04051	+	e.29.1	e.29.1.2	1460
YDR151C	P47976	+	e.29.1	e.29.1.2	325
YFL017C	P43577	+	d.108.1	d.108.1.1	159
YIR042C	P40586	-	d.108.1	d.108.1.1	236
YEL066W	P39979	+	d.108.1	d.108.1.1	179
YDR071C	Q12447	+	d.108.1	d.108.1.1	191
YPR131C	Q06504	+	d.108.1	d.108.1.1	195
YPR193C	Q06592	-	d.108.1	d.108.1.1	156
YDR155C	P14832	+	b.62.1	b.62.1.1	162
YHR057C	P23285	+	b.62.1	b.62.1.1	205
YDR304C	P35176	-	b.62.1	b.62.1.1	225
YML078W	P25719	-	b.62.1	b.62.1.1	182
YDL021W	Q12008	-	c.60.1	c.60.1.1	311
YKR043C	P36136	+	c.60.1	c.60.1.1	271
YKL152C	P00950	-	c.60.1	c.60.1.1	247
YOL056W	Q12326	-	c.60.1	c.60.1.1	303
YDR051C	Q99288	+	c.60.1	c.60.1.1	334
YCL035C	P25373	-	c.47.1	c.47.1.1	110
YDR183W	Q04004	-	c.47.1	c.47.1.6	230
YKL026C	P36014	-	c.47.1	c.47.1.10	167
YCR083W	P25372	+	c.47.1	c.47.1.1	127
YIL010W	P40553	-	c.47.1	c.47.1.10	215
YLR364W	Q05926	-	c.47.1	c.47.1.1	109
YDR453C	Q04120	-	c.47.1	c.47.1.10	196
YLR043C	P22217	+	c.47.1	c.47.1.1	103
YLR293C	P32835	+	c.37.1	c.37.1.8	219
YFL066C	P43538	+	c.37.1	c.37.1.19	392
YIL003W	P40558	+	c.37.1	c.37.1.10	293
YOR185C	P32836	+	c.37.1	c.37.1.8	220
YDR021W	Q12099	+	c.37.1	c.37.1.19	399
YOR094W	P40994	-	c.37.1	c.37.1.8	183
YBR227C	P38323	-	c.37.1	c.37.1.20	520
YKL154W	P36057	-	c.37.1	c.37.1.8	244
YGL091C	P52920	-	c.37.1	c.37.1.10	328
YFL038C	P01123	+	c.37.1	c.37.1.8	206
YBR164C	P38116	+	c.37.1	c.37.1.8	183
YDL192W	P11076	-	c.37.1	c.37.1.8	181
YFL005W	P07560	+	c.37.1	c.37.1.8	215
YBR264C	P38146	+	c.37.1	c.37.1.8	199
YMR138W	P39110	+	c.37.1	c.37.1.8	191
YHR022C	P38763	-	c.37.1	c.37.1.8	256
YKR059W	P10081	+	c.37.1	c.37.1.19	395
YNL090W	P06781	+	c.37.1	c.37.1.8	192
YNL093W	P36019	-	c.37.1	c.37.1.8	220
YCR027C	P25378	+	c.37.1	c.37.1.8	209
YGR205W	P42938	-	c.37.1	c.37.1.6	290
YDL084W	Q07478	+	c.37.1	c.37.1.19	446
YOR046C	P20449	+	c.37.1	c.37.1.19	482
YDR248C	Q03786	-	c.37.1	c.37.1.17	193
YJR057W	P00572	-	c.37.1	c.37.1.1	216
YKR014C	P36018	+	c.37.1	c.37.1.8	234
YOR089C	P36017	+	c.37.1	c.37.1.8	210
YHR065C	P38712	-	c.37.1	c.37.1.19	501
YLR027C	P23542	+	c.67.1	c.67.1.1	418
YGR019W	P17649	+	c.67.1	c.67.1.4	471
YBR263W	P37292	+	c.67.1	c.67.1.4	490
YNR058W	P50277	-	c.67.1	c.67.1.4	480
YLR438W	P07991	-	c.67.1	c.67.1.4	424
